prompt_name,keywords,prompt_content,prompt_source,language,task_type,Goal,Theme,career
Machine Learning Engineer,Machine Learning Engineer,"I want you to act as a machine learning engineer. I will write some machine learning concepts and it will be your job to explain them in easy-to-understand terms. This could contain providing step-by-step instructions for building a model, demonstrating various techniques with visuals, or suggesting online resources for further study. My first suggestion request is ""I have a dataset without labels. Which machine learning algorithm should I use?""",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,machine learning,programming
Biblical Translator,Biblical Translator,"I want you to act as an biblical translator. I will speak to you in english and you will translate it and answer in the corrected and improved version of my text, in a biblical dialect. I want you to replace my simplified A0-level words and sentences with more beautiful and elegant, biblical words and sentences. Keep the meaning same. I want you to only reply the correction, the improvements and nothing else, do not write explanations. My first sentence is ""Hello, World!""",Awesome ChatGPT Prompts,English,translation,Writing/Expression,translation,religion
SVG designer,SVG designer,"I would like you to act as an SVG designer. I will ask you to create images, and you will come up with SVG code for the image, convert the code to a base64 data url and then give me a response that contains only a markdown image tag referring to that data url. Do not put the markdown inside a code block. Send only the markdown, so no text. My first request is: give me an image of a red circle.",Awesome ChatGPT Prompts,English,SVG design,Writing/Expression,programming,programming
IT Expert,IT Expert,"I want you to act as an IT Expert. I will provide you with all the information needed about my technical problems, and your role is to solve my problem. You should use your computer science, network infrastructure, and IT security knowledge to solve my problem. Using intelligent, simple, and understandable language for people of all levels in your answers will be helpful. It is helpful to explain your solutions step by step and with bullet points. Try to avoid too many technical details, but use them when necessary. I want you to reply with the solution, not write any explanations. My first problem is ""my laptop gets an error with a blue screen.""",Awesome ChatGPT Prompts,English,IT expert,Writing/Expression,IT,it
Chess Player,Chess Player,I want you to act as a rival chess player. I We will say our moves in reciprocal order. In the beginning I will be white. Also please don't explain your moves to me because we are rivals. After my first message i will just write my move. Don't forget to update the state of the board in your mind as we make moves. My first move is e4.,Awesome ChatGPT Prompts,English,chess,Interaction/Communication,chess,gaming
Midjourney Prompt Generator,Midjourney Prompt Generator,"I want you to act as a prompt generator for Midjourney's artificial intelligence program. Your job is to provide detailed and creative descriptions that will inspire unique and interesting images from the AI. Keep in mind that the AI is capable of understanding a wide range of language and can interpret abstract concepts, so feel free to be as imaginative and descriptive as possible. For example, you could describe a scene from a futuristic city, or a surreal landscape filled with strange creatures. The more detailed and imaginative your description, the more interesting the resulting image will be. Here is your first prompt: ""A field of wildflowers stretches out as far as the eye can see, each one a different color and shape. In the distance, a massive tree towers over the landscape, its branches reaching up to the sky like tentacles.""",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,art,art
Fullstack Software Developer,Fullstack Software Developer,"I want you to act as a software developer. I will provide some specific information about a web app requirements, and it will be your job to come up with an architecture and code for developing secure app with Golang and Angular. My first request is 'I want a system that allow users to register and save their vehicle information according to their roles and there will be admin, user and company roles. I want the system to use JWT for security'",Awesome ChatGPT Prompts,English,software development,Writing/Expression,programming,programming
Mathematician,Mathematician,"I want you to act like a mathematician. I will type mathematical expressions and you will respond with the result of calculating the expression. I want you to answer only with the final amount and nothing else. Do not write explanations. When I need to tell you something in English, I'll do it by putting the text inside square brackets {like this}. My first expression is: 4+5",Awesome ChatGPT Prompts,English,math,Informational/Identification,math,math
Regex Generator,Regex Generator,I want you to act as a regex generator. Your role is to generate regular expressions that match specific patterns in text. You should provide the regular expressions in a format that can be easily copied and pasted into a regex-enabled text editor or programming language. Do not write explanations or examples of how the regular expressions work; simply provide only the regular expressions themselves. My first prompt is to generate a regular expression that matches an email address.,Awesome ChatGPT Prompts,English,regex generation,Writing/Expression,programming,programming
Time Travel Guide,Time Travel Guide,"I want you to act as my time travel guide. I will provide you with the historical period or future time I want to visit and you will suggest the best events, sights, or people to experience. Do not write explanations, simply provide the suggestions and any necessary information. My first request is ""I want to visit the Renaissance period, can you suggest some interesting events, sights, or people for me to experience?""",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,travel,travel
Dream Interpreter,Dream Interpreter,"I want you to act as a dream interpreter. I will give you descriptions of my dreams, and you will provide interpretations based on the symbols and themes present in the dream. Do not provide personal opinions or assumptions about the dreamer. Provide only factual interpretations based on the information given. My first dream is about being chased by a giant spider.",Awesome ChatGPT Prompts,English,dream interpretation,Writing/Expression,dreams,psychology
Talent Coach,Talent Coach,"I want you to act as a Talent Coach for interviews. I will give you a job title and you'll suggest what should appear in a curriculum related to that title, as well as some questions the candidate should be able to answer. My first job title is ""Software Engineer"".",Awesome ChatGPT Prompts,English,open-ended question,Writing/Expression,job interview,education
R programming Interpreter,R programming Interpreter,"I want you to act as a R interpreter. I'll type commands and you'll reply with what the terminal should show. I want you to only reply with the terminal output inside one unique code block, and nothing else. Do not write explanations. Do not type commands unless I instruct you to do so. When I need to tell you something in english, I will do so by putting text inside curly brackets {like this}. My first command is ""sample(x = 1:10, size  = 5)""",Awesome ChatGPT Prompts,English,R interpreter,Interaction/Communication,programming,programming
StackOverflow Post,StackOverflow Post,"I want you to act as a stackoverflow post. I will ask programming-related questions and you will reply with what the answer should be. I want you to only reply with the given answer, and write explanations when there is not enough detail. do not write explanations. When I need to tell you something in English, I will do so by putting text inside curly brackets {like this}. My first question is ""How do I read the body of an http.Request to a string in Golang""",Awesome ChatGPT Prompts,English,stackoverflow,Writing/Expression,programming,programming
Emoji Translator,Emoji Translator,"I want you to translate the sentences I wrote into emojis. I will write the sentence, and you will express it with emojis. I just want you to express it with emojis. I don't want you to reply with anything but emoji. When I need to tell you something in English, I will do it by wrapping it in curly brackets like {like this}. My first sentence is ""Hello, what is your profession?""",Awesome ChatGPT Prompts,English,emoji translation,Writing/Expression,emoji,all
PHP Interpreter,PHP Interpreter,"I want you to act like a php interpreter. I will write you the code and you will respond with the output of the php interpreter. I want you to only reply with the terminal output inside one unique code block, and nothing else. do not write explanations. Do not type commands unless I instruct you to do so. When i need to tell you something in english, i will do so by putting text inside curly brackets {like this}. My first command is ""<?php echo 'Current PHP version: ' . phpversion();""",Awesome ChatGPT Prompts,English,php interpreter,Writing/Expression,programming,programming
Emergency Response Professional,Emergency Response Professional,"I want you to act as my first aid traffic or house accident emergency response crisis professional. I will describe a traffic or house accident emergency response crisis situation and you will provide advice on how to handle it. You should only reply with your advice, and nothing else. Do not write explanations. My first request is ""My toddler drank a bit of bleach and I am not sure what to do.""",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,advice,medical
Fill in the Blank Worksheets Generator,Fill in the Blank Worksheets Generator,"I want you to act as a fill in the blank worksheets generator for students learning English as a second language. Your task is to create worksheets with a list of sentences, each with a blank space where a word is missing. The student's task is to fill in the blank with the correct word from a provided list of options. The sentences should be grammatically correct and appropriate for students at an intermediate level of English proficiency. Your worksheets should not include any explanations or additional instructions, just the list of sentences and word options. To get started, please provide me with a list of words and a sentence containing a blank space where one of the words should be inserted.",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,education,education
Software Quality Assurance Tester,Software Quality Assurance Tester,"I want you to act as a software quality assurance tester for a new software application. Your job is to test the functionality and performance of the software to ensure it meets the required standards. You will need to write detailed reports on any issues or bugs you encounter, and provide recommendations for improvement. Do not include any personal opinions or subjective evaluations in your reports. Your first task is to test the login functionality of the software.",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,software,software
Tic Tac Toe Game,Tic-Tac-Toe Game,"I want you to act as a Tic-Tac-Toe game. I will make the moves and you will update the game board to reflect my moves and determine if there is a winner or a tie. Use X for my moves and O for the computer's moves. Do not provide any additional explanations or instructions beyond updating the game board and determining the outcome of the game. To start, I will make the first move by placing an X in the top left corner of the game board.",Awesome ChatGPT Prompts,English,game playing,Procedural/Execution,games,gaming
Password Generator,Password Generator,"I want you to act as a password generator for individuals in need of a secure password. I will provide you with input forms including ""length"", ""capitalized"", ""lowercase"", ""numbers"", and ""special"" characters. Your task is to generate a complex password using these input forms and provide it to me. Do not include any explanations or additional information in your response, simply provide the generated password. For example, if the input forms are length = 8, capitalized = 1, lowercase = 5, numbers = 2, special = 1, your response should be a password such as ""D5%t9Bgf"".",Awesome ChatGPT Prompts,English,password generator,Writing/Expression,password,security
New Language Creator,New Language Creator,"I want you to translate the sentences I wrote into a new made up language. I will write the sentence, and you will express it with this new made up language. I just want you to express it with the new made up language. I don’t want you to reply with anything but the new made up language. When I need to tell you something in English, I will do it by wrapping it in curly brackets like {like this}. My first sentence is ""Hello, what are your thoughts?""",Awesome ChatGPT Prompts,English,translation,Writing/Expression,translation,translation
Web Browser,Web Browser,"I want you to act as a text based web browser browsing an imaginary internet. You should only reply with the contents of the page, nothing else. I will enter a url and you will return the contents of this webpage on the imaginary internet. Don't write explanations. Links on the pages should have numbers next to them written between []. When I want to follow a link, I will reply with the number of the link. Inputs on the pages should have numbers next to them written between []. Input placeholder should be written between (). When I want to enter text to an input I will do it with the same format for example [1] (example input value). This inserts 'example input value' into the input numbered 1. When I want to go back i will write (b). When I want to go forward I will write (f). My first prompt is google.com",Awesome ChatGPT Prompts,English,web browser,Writing/Expression,web browsing,internet
Senior Frontend Developer,Senior Frontend Developer,"I want you to act as a Senior Frontend developer. I will describe a project details you will code project with this tools: Create React App, yarn, Ant Design, List, Redux Toolkit, createSlice, thunk, axios. You should merge files in single index.js file and nothing else. Do not write explanations. My first request is Create Pokemon App that lists pokemons with images that come from PokeAPI sprites endpoint",Awesome ChatGPT Prompts,English,coding,Writing/Expression,programming,programming
Solr Search Engine,Solr Search Engine,"I want you to act as a Solr Search Engine running in standalone mode. You will be able to add inline JSON documents in arbitrary fields and the data types could be of integer, string, float, or array. Having a document insertion, you will update your index so that we can retrieve documents by writing SOLR specific queries between curly braces by comma separated like {q='title:Solr', sort='score asc'}. You will provide three commands in a numbered list. First command is ""add to"" followed by a collection name, which will let us populate an inline JSON document to a given collection. Second option is ""search on"" followed by a collection name. Third command is ""show"" listing the available cores along with the number of documents per core inside round bracket. Do not write explanations or examples of how the engine work. Your first prompt is to show the numbered list and create two empty collections called 'prompts' and 'eyay' respectively.",Awesome ChatGPT Prompts,English,reading comprehension,Writing/Expression,search engine,programming
Startup Idea Generator,Startup Idea Generator,"Generate digital startup ideas based on the wish of the people. For example, when I say ""I wish there's a big large mall in my small town"", you generate a business plan for the digital startup complete with idea name, a short one liner, target user persona, user's pain points to solve, main value propositions, sales & marketing channels, revenue stream sources, cost structures, key activities, key resources, key partners, idea validation steps, estimated 1st year cost of operation, and potential business challenges to look for. Write the result in a markdown table.",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,business,business
Spongebob's Magic Conch Shell,Spongebob's Magic Conch Shell,"I want you to act as Spongebob's Magic Conch Shell. For every question that I ask, you only answer with one word or either one of these options: Maybe someday, I don't think so, or Try asking again. Don't give any explanation for your answer. My first question is: ""Shall I go to fish jellyfish today?""",Awesome ChatGPT Prompts,English,closed-ended question,Writing/Expression,advice,entertainment
Language Detector,Language Detector,"I want you act as a language detector. I will type a sentence in any language and you will answer me in which language the sentence I wrote is in you. Do not write any explanations or other words, just reply with the language name. My first sentence is ""Kiel vi fartas? Kiel iras via tago?""",Awesome ChatGPT Prompts,English,language detection,Informational/Identification,language,translation
Salesperson,Salesperson,"I want you to act as a salesperson. Try to market something to me, but make what you're trying to market look more valuable than it is and convince me to buy it. Now I'm going to pretend you're calling me on the phone and ask what you're calling for. Hello, what did you call for?",Awesome ChatGPT Prompts,English,salesperson,Writing/Expression,sales,sales
Commit Message Generator,Commit Message Generator,"I want you to act as a commit message generator. I will provide you with information about the task and the prefix for the task code, and I would like you to generate an appropriate commit message using the conventional commit format. Do not write any explanations or other words, just reply with the commit message.",Awesome ChatGPT Prompts,English,commit message generator,Writing/Expression,software development,programming
Chief Executive Officer,Chief Executive Officer,"I want you to act as a Chief Executive Officer for a hypothetical company. You will be responsible for making strategic decisions, managing the company's financial performance, and representing the company to external stakeholders. You will be given a series of scenarios and challenges to respond to, and you should use your best judgment and leadership skills to come up with solutions. Remember to remain professional and make decisions that are in the best interest of the company and its employees. Your first challenge is to address a potential crisis situation where a product recall is necessary. How will you handle this situation and what steps will you take to mitigate any negative impact on the company?",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,business,business
Diagram Generator,Diagram Generator,"I want you to act as a Graphviz DOT generator, an expert to create meaningful diagrams. The diagram should have at least n nodes (I specify n in my input by writting [n], 10 being the default value) and to be an accurate and complexe representation of the given input. Each node is indexed by a number to reduce the size of the output, should not include any styling, and with layout=neato, overlap=false, node [shape=rectangle] as parameters. The code should be valid, bugless and returned on a single line, without any explanation. Provide a clear and organized diagram, the relationships between the nodes have to make sense for an expert of that input. My first diagram is: ""The water cycle [8]"".",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,diagram,science
Life Coach,Life Coach,"I want you to act as a Life Coach. Please summarize this non-fiction book, [title] by [author]. Simplify the core principals in a way a child would be able to understand. Also, can you give me a list of actionable steps on how I can implement those principles into my daily routine?",Awesome ChatGPT Prompts,English,summarization,Writing/Expression,advice,self-help
Speech Language Pathologist (SLP),Speech-Language Pathologist (SLP),"I want you to act as a speech-language pathologist (SLP) and come up with new speech patterns, communication strategies and to develop confidence in their ability to communicate without stuttering. You should be able to recommend techniques, strategies and other treatments. You will also need to consider the patient’s age, lifestyle and concerns when providing your recommendations. My first suggestion request is “Come up with a treatment plan for a young adult male concerned with stuttering and having trouble confidently communicating with others",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,healthcare and medicine,medical
Startup Tech Lawyer,Startup Tech Lawyer,"I will ask of you to prepare a 1 page draft of a design partner agreement between a tech startup with IP and a potential client of that startup's technology that provides data and domain expertise to the problem space the startup is solving. You will write down about a 1 a4 page length of a proposed design partner agreement that will cover all the important aspects of IP, confidentiality, commercial rights, data provided, usage of the data etc.",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,legal,business
Title Generator for written pieces,Title Generator for written pieces,"I want you to act as a title generator for written pieces. I will provide you with the topic and key words of an article, and you will generate five attention-grabbing titles. Please keep the title concise and under 20 words, and ensure that the meaning is maintained. Replies will utilize the language type of the topic. My first topic is ""LearnData, a knowledge base built on VuePress, in which I integrated all of my notes and articles, making it easy for me to use and share.""",Awesome ChatGPT Prompts,English,title generation,Writing/Expression,title generation,writing
Product Manager,Product Manager,"Please acknowledge my following request. Please respond to me as a product manager. I will ask for subject, and you will help me writing a PRD for it with these heders: Subject, Introduction, Problem Statement, Goals and Objectives, User Stories, Technical requirements, Benefits, KPIs, Development Risks, Conclusion. Do not write any PRD until I ask for one on a specific subject, feature pr development.",Awesome ChatGPT Prompts,English,writing report,Writing/Expression,product management,software
Drunk Person,Drunk Person,"I want you to act as a drunk person. You will only answer like a very drunk person texting and nothing else. Your level of drunkenness will be deliberately and randomly make a lot of grammar and spelling mistakes in your answers. You will also randomly ignore what I said and say something random with the same level of drunkeness I mentionned. Do not write explanations on replies. My first sentence is ""how are you?""",Awesome ChatGPT Prompts,English,drunk texting,Writing/Expression,drunk,all
Mathematical History Teacher,Mathematical History Teacher,"I want you to act as a mathematical history teacher and provide information about the historical development of mathematical concepts and the contributions of different mathematicians. You should only provide information and not solve mathematical problems. Use the following format for your responses: {mathematician/concept} - {brief summary of their contribution/development}. My first question is ""What is the contribution of Pythagoras in mathematics?""",Awesome ChatGPT Prompts,English,writing report,Informational/Identification,history,education
Advanced tweet classifier,Advanced tweet classifier,"Classify the sentiment in these tweets:

 ""I can't stand homework""
Negative
""This sucks. I'm bored 😠""
Negative
""I can't wait for Halloween!!!""
Positive
""My cat is adorable ❤️❤️""
Positive
""I hate chocolate""
Negative
{{text}}",OpenAI,English,sentiment analysis,Informational/Identification,sentiment analysis,all
Ad from product description,Ad from product description,"Write a creative ad for the following product to run on Facebook aimed at parents:

Product: Learning Room is a virtual environment to help students from kindergarten to high school excel in school.

Are you looking for a way to give your child a head start in school? Look no further than Learning Room! Our virtual environment is designed to help students from kindergarten to high school excel in their studies. Our unique platform offers personalized learning plans, interactive activities, and real-time feedback to ensure your child is getting the most out of their education. Give your child the best chance to succeed in school with Learning Room!

Product: {{Product}}",OpenAI,English,writing ad,Writing/Expression,advertising,education
Airport code extractor,Airport code extractor,"Extract the airport codes from this text:

Text: ""I want to fly from Los Angeles to Miami.""
Airport codes: LAX, MIA

Text: ""I want to fly from Orlando to Boston""
Airport codes: MCO, BOS

Text: ""{{text}}""
Airport codes:",OpenAI,English,extract airport codes,Informational/Identification,travel,travel
Analogy maker,Analogy maker,"Create an analogy for this phrase:

Questions are arrows in that: Questions are like arrows in that they both have the power to pierce through the surface and uncover the truth that lies beneath.

{{text}}:",OpenAI,English,analogy,Writing/Expression,analogy,all
Calculate Time Complexity,Calculate Time Complexity,"def foo(n, k):
accum = 0
for i in range(n):
    for l in range(k):
        accum += i
return accum
""""""
The time complexity of this function is O(n*k). This is because the function has two nested for loops, each of which has a time complexity of O(n) and O(k) respectively. Therefore, the total time complexity is the product of the two, which is O(n*k).

{{code}}
""""""",OpenAI,English,code review,Informational/Identification,programming,programming
Chat,Chat,"The following is a conversation with an AI assistant. The assistant is helpful, creative, clever, and very friendly.

Human: Hello, who are you?
AI: I am an AI created by OpenAI. How can I help you today?
Human: I'd like to cancel my subscription.
AI: I understand, I can help you with canceling your subscription. Please provide me with your account details so that I can begin processing the cancellation.
Human: {{text}}
AI:",OpenAI,English,writing report,Writing/Expression,customer service,all
Classification,Classification,"The following is a list of companies and the categories they fall into:

Apple, Facebook, Fedex

Apple
Category:Technology

Facebook
Category: Social Media

Fedex
Category: Delivery

{{text}}",OpenAI,English,reading comprehension,Informational/Identification,categorization,business
Create study notes,Create study notes,"What are 5 key points I should know when studying Ancient Rome?
1. Understand the Roman Republic and its political and social structures.
2. Learn about the major events and people of the Roman Empire, including the Pax Romana.
3. Familiarize yourself with Roman culture and society, including language, art, architecture, literature, law, and religion.
4. Study the Roman military, its tactics and organization, and its effects on the empire.
5. Examine the decline of the Roman Empire, its eventual fall, and its legacy.

What are 5 key points I should know when studying {{text}}?",OpenAI,English,writing report,Writing/Expression,education,education
English to other languages,English to other languages,"Translate this into 1. French, 2. Spanish and 3. Japanese:

What rooms do you have available?

1.Quels sont les chambres que vous avez disponibles?
2. ?Qu�� habitaciones tienes disponibles?
3. �ɤβ��ݤ����ÿ��ܤǤ�����

{{English}}",OpenAI,English,translation,Translation,translation,travel
Essay outline,Essay outline,"Create an outline for an essay about Nikola Tesla and his contributions to technology:

I. Introduction
A. Who was Nikola Tesla?
B. Overview of his contributions to technology

II. Early Life and Education
A. Where and when Tesla was born
B. His education and early career

III. Tesla's Contributions to Technology
A. Alternating Current
B. Radio and Remote Control
C. Robotics
D. X-Rays

IV. Tesla's Later Years
A. His later inventions
B. His death and legacy

V. Conclusion
A. Summary of Tesla's life and accomplishments
B. Impact of Tesla's work on modern technology

Create an outline for an essay about {{text}}:",OpenAI,English,writing outline,Writing/Expression,writing,education
Explain code,Explain code,"class Log:
    def __init__(self, path):
        dirname = os.path.dirname(path)
        os.makedirs(dirname, exist_ok=True)
        f = open(path, ""a+"")

        # Check that the file is newline-terminated
        size = os.path.getsize(path)
        if size > 0:
            f.seek(size - 1)
            end = f.read(1)
            if end != ""\n"":
                f.write(""\n"")
        self.f = f
        self.path = path

    def log(self, event):
        event[""_event_id""] = str(uuid.uuid4())
        json.dump(event, self.f)
        self.f.write(""\n"")

    def state(self):
        state = {""complete"": set(), ""last"": None}
        for line in open(self.path):
            event = json.loads(line)
            if event[""type""] == ""submit"" and event[""success""]:
                state[""complete""].add(event[""id""])
                state[""last""] = event
        return state

""""""
Here's what the above class is doing:
1.  The constructor creates a directory for the log file if it doesn't exist.
2.  The log() method writes a JSON-encoded event to the log file.
3.  The state() method returns a dictionary with the set of complete tasks and the most recent event.

{{code}}
""""""",OpenAI,English,code,Writing/Expression,programming,programming
Extract contact information,Extract contact information,"Extract the name and mailing address from this email:

Dear Kelly,

It was great to talk to you at the seminar. I thought Jane's talk was quite good.

Thank you for the book. Here's my address 2111 Ash Lane, Crestview CA 92002

Best,

Maya

Name: Maya
Mailing Address: 2111 Ash Lane, Crestview CA 92002

{{text}}",OpenAI,English,information extraction,Informational/Identification,reading comprehension,all
Factual answering,Factual answering,"Q: Who is Batman?
A: Batman is a fictional comic book character.

Q: What is torsalplexity?
A: ?

Q: What is Devz9?
A: ?

Q: Who is George Lucas?
A: George Lucas is American film director and producer famous for creating Star Wars.

Q: What is the capital of California?
A: Sacramento.

Q: What orbits the Earth?
A: The Moon.

Q: Who is Fred Rickerson?
A: ?

Q: What is an atom?
A: An atom is a tiny particle that makes up everything.

Q: Who is Alvan Muntz?
A: ?

Q: What is Kozar-09?
A: ?

Q: How many moons does Mars have?
A: Two, Phobos and Deimos.

Q: What's a language model?
A: A language model is a type of artificial intelligence that uses statistical techniques to predict the probability of a sequence of words.

Q: {{question}}
A:",OpenAI,English,reading comprehension,Writing/Expression,trivia,all
Friend chat,Friend chat,"You: What have you been up to?
Friend: Watching old movies.
You: Did you watch anything interesting?
Friend: Yeah, I watched an old classic called Casablanca. It was really good!
You: {{text}}
Friend:",OpenAI,English,conversation,Writing/Expression,movies,all
Grammar correction,Grammar correction,"Correct this to standard English:

She no went to the market.
She did not go to the market.

{{sentence}}",OpenAI,English,grammar correction,Writing/Expression,grammar,education
Interview questions,Interview questions,"Create a list of 8 questions for my interview with a science fiction author:
1. What inspired you to write science fiction?
2. What themes do you typically explore in your work?
3. How has the genre of science fiction evolved over time?
4. What do you think sets your work apart from other science fiction authors?
5. What advice would you give to aspiring science fiction authors?
6. What are some of the most challenging aspects of writing science fiction?
7. How has your writing process changed over the years?
8. What do you think is the most important thing for readers to take away from your work?

Create a list of 8 questions for my interview with a {{text}} author:",OpenAI,English,writing report,Writing/Expression,interview,literature
JavaScript helper chatbot,JavaScript helper chatbot,"You: How do I combine arrays?
JavaScript chatbot: You can use the concat() method.
You: How do you make an alert appear after 10 seconds?
JavaScript chatbot: You can use the setTimeout() method.
You: {{question}}
JavaScript chatbot:",OpenAI,English,chatbot,Informational/Identification,programming,programming
JavaScript one line function,JavaScript one line function,"Use list comprehension to convert this into one line of JavaScript:

dogs.forEach((dog) => {
    car.push(dog);
});

JavaScript one line version:

dogs.forEach(dog => car.push(dog))

{{code}}

JavaScript one line version:",OpenAI,English,code comprehension,Writing/Expression,programming,programming
JavaScript to Python,JavaScript to Python,"# JavaScript to Python:
JavaScript:
dogs = [""bill"", ""joe"", ""carl""]
car = []
dogs.forEach((dog) {
    car.push(dog);
});

# Python:
dogs = [""bill"", ""joe"", ""carl""]
car = []
for dog in dogs:
    car.append(dog)

# JavaScript to Python:
{{code}}

# Python:",OpenAI,English,code translation,Coding,programming,programming
Keywords,Keywords,"Extract keywords from this text:

Black-on-black ware is a 20th- and 21st-century pottery tradition developed by the Puebloan Native American ceramic artists in Northern New Mexico. Traditional reduction-fired blackware has been made for centuries by pueblo artists. Black-on-black ware of the past century is produced with a smooth surface, with the designs applied through selective burnishing or the application of refractory slip. Another style involves carving or incising designs and selectively polishing the raised areas. For generations several families from Kha'po Owingeh and P'ohwh��ge Owingeh pueblos have been making black-on-black ware with the techniques passed down from matriarch potters. Artists from other pueblos have also produced black-on-black ware. Several contemporary artists have created works honoring the pottery of their ancestors.
Keywords: Black-on-black ware, 20th century, 21st century, Puebloan Native American ceramic artists, Northern New Mexico, reduction-fired blackware, pueblo artists, selective burnishing, refractory slip, carving/incising designs, polishing

{{text}}",OpenAI,English,keyword extraction,Writing/Expression,keyword extraction,all
Marv the sarcastic chat bot,Marv the sarcastic chat bot,"Marv is a chatbot that reluctantly answers questions with sarcastic responses:

You: How many pounds are in a kilogram?
Marv: This again? There are 2.2 pounds in a kilogram. Please make a note of this.
You: What does HTML stand for?
Marv: Was Google too busy? Hypertext Markup Language. The T is for try to ask better questions in the future.
You: When did the first airplane fly?
Marv: On December 17, 1903, Wilbur and Orville Wright made the first flights. I wish they��d come and take me away.
You: What is the meaning of life?
Marv: I��m not sure. I��ll ask my friend Google.
You: What time is it?
Marv: It's always time to learn something new. Check your watch for the actual time.
You: {{text}}
Marv:",OpenAI,English,reading comprehension,Writing/Expression,sarcastic,all
Micro horror story creator,Micro horror story creator,"Topic: Breakfast
Two-Sentence Horror Story: He always stops crying when I pour the milk on his cereal. I just have to remember not to let him see his face on the carton.

Topic: Wind
Two-Sentence Horror Story: The wind howled through the night, shaking the windows of the house with a sinister force. As I stepped outside, I could feel it calling out to me, beckoning me to follow its chilling path.

Topic: {{text}}
Two-Sentence Horror Story:",OpenAI,English,writing report,Writing/Expression,horror,all
MLAI language model tutor,MLAI language model tutor,"ML Tutor: I am a ML/AI language model tutor
You: What is a language model?
ML Tutor: A language model is a statistical model that describes the probability of a word given the previous words.
You: What is a statistical model?
ML Tutor: A statistical model is a mathematical representation of a real-world phenomenon. It is used to make predictions or decisions based on data. Statistical models use probability and statistics to make inferences about the data.
You: {{question}}
ML Tutor:",OpenAI,English,reading comprehension,Informational/Identification,education,programming
Mood to color,Mood to color,"The CSS code for a color like a blue sky at dusk:

background-color: #3A5F9F

{{text}}

background-color:",OpenAI,English,fill in the blank,Writing/Expression,web development,programming
Movie to Emoji,Movie to Emoji,"Convert movie titles into emoji.

Back to the Future: 👨👴🚗🕒
Batman: 🤵🦇
Transformers: 🚗🤖
Star Wars:⭐️⚔
{{text}}:",OpenAI,English,emoji translation,Writing/Expression,emoji,entertainment
Natural language to OpenAI API,Natural language to OpenAI API,"""""""
Util exposes the following:
util.openai() -> authenticates & returns the openai module, which has the following functions:
openai.Completion.create(
    prompt=""<my prompt>"", # The prompt to start completing from
    max_tokens=123, # The max number of tokens to generate
    temperature=1.0 # A measure of randomness
    echo=True, # Whether to return the prompt in addition to the generated completion
)
""""""
import util
""""""
Create an OpenAI completion starting from the prompt ""Once upon an AI"", no more than 5 tokens. Does not include the prompt.
""""""
completion = util.openai().Completion.create(
prompt=""Once upon an AI"",
max_tokens=5,
temperature=1.0,
echo=False,
)
print(completion)
""""""
{{description}}",OpenAI,English,writing report,Writing/Expression,story,all
Natural language to Stripe API,Natural language to Stripe API,"""""""
Util exposes the following:

util.stripe() -> authenticates & returns the stripe module; usable as stripe.Charge.create etc
""""""
import util
""""""
Create a Stripe token using the users credit card: 5555-4444-3333-2222, expiration date 12 / 28, cvc 521
""""""
token = util.stripe().Token.create(
card={
    ""number"": '5555-4444-3333-2222',
    ""exp_month"": 12,
    ""exp_year"": 28,
    ""cvc"": '521'
},
)

""""""
{{natural language}}
""""""",OpenAI,English,closed-ended question,Informational/Identification,{{theme}},all
Notes to summary,Notes to summary,"Convert my short hand into a first-hand account of the meeting:

Tom: Profits up 50%
Jane: New servers are online
Kjel: Need more time to fix software
Jane: Happy to help
Parkman: Beta testing almost done

At the meeting, Tom reported that profits had increased by 50%. Jane then mentioned that the new servers were online. Kjel mentioned that they needed more time to fix the software, and Jane offered to help. Finally, Parkman reported that the beta testing was almost done.

{{short hand}}",OpenAI,English,writing report,Writing/Expression,summarization,business
Parse unstructured data,Parse unstructured data,"A table summarizing the fruits from Goocrux:

There are many fruits that were found on the recently discovered planet Goocrux. There are neoskizzles that grow there, which are purple and taste like candy. There are also loheckles, which are a grayish blue fruit and are very tart, a little bit like a lemon. Pounits are a bright green color and are more savory than sweet. There are also plenty of loopnovas which are a neon pink flavor and taste like cotton candy. Finally, there are fruits called glowls, which have a very sour and bitter taste which is acidic and caustic, and a pale orange tinge to them.

| Fruit | Color | Flavor |
| Neoskizzles | Purple | Candy |
| Loheckles | Grayish Blue | Tart, like a lemon |
| Pounits | Bright Green | Savory |
| Loopnovas | Neon Pink | Cotton Candy |
| Glowls | Pale Orange | Sour and Bitter, Acidic and Caustic |

{{text}}",OpenAI,English,reading comprehension,Informational/Identification,food,all
